***,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,class
38,1.00E-005,5.30E-001,7.70E-005,9.69E-001,2.66E-005,5.63E-005,4.92E-005,2.12E-001,3.99E-001,4.61E-001,6.33E-001,9.56E-001,1
39,1.80E-005,5.34E-001,1.50E-005,9.92E-001,2.61E-005,4.19E-005,8.94E-006,2.13E-001,4.00E-001,4.63E-001,6.38E-001,9.86E-001,1
40,0.00E+000,5.33E-001,2.32E-004,9.74E-001,2.53E-005,9.65E-005,1.45E-004,2.08E-001,3.98E-001,4.61E-001,6.32E-001,9.64E-001,1
41,9.00E-006,5.34E-001,5.50E-005,9.83E-001,2.66E-005,5.52E-005,3.33E-005,2.05E-001,3.96E-001,4.62E-001,6.39E-001,9.74E-001,1
42,0.00E+000,5.29E-001,2.00E-005,9.91E-001,2.48E-005,4.29E-005,1.33E-005,2.05E-001,3.94E-001,4.60E-001,6.32E-001,9.83E-001,1
43,5.00E-006,5.29E-001,1.60E-005,9.82E-001,2.59E-005,4.33E-005,1.03E-005,2.03E-001,3.93E-001,4.57E-001,6.36E-001,9.77E-001,1
44,4.00E-006,5.27E-001,3.10E-005,9.69E-001,2.74E-005,4.81E-005,2.05E-005,1.99E-001,3.89E-001,4.57E-001,6.35E-001,9.59E-001,1
45,1.00E-005,5.32E-001,1.70E-005,9.61E-001,2.49E-005,4.35E-005,1.05E-005,2.05E-001,3.96E-001,4.60E-001,6.29E-001,9.55E-001,1
46,1.10E-005,5.28E-001,7.60E-005,9.60E-001,2.58E-005,5.89E-005,5.46E-005,2.06E-001,3.96E-001,4.59E-001,6.30E-001,9.56E-001,1
47,2.00E-006,5.26E-001,3.20E-005,9.64E-001,2.42E-005,4.69E-005,2.24E-005,2.06E-001,3.95E-001,4.59E-001,6.27E-001,9.60E-001,1
48,1.00E-006,5.28E-001,3.00E-005,9.73E-001,2.69E-005,4.78E-005,2.02E-005,2.05E-001,3.95E-001,4.58E-001,6.30E-001,9.64E-001,1
49,5.00E-006,5.26E-001,2.20E-005,9.61E-001,2.64E-005,4.33E-005,2.14E-005,2.03E-001,3.92E-001,4.58E-001,6.29E-001,9.57E-001,1
50,8.00E-006,5.34E-001,3.80E-005,9.99E-001,2.97E-005,5.11E-005,3.08E-005,2.16E-001,4.02E-001,4.65E-001,6.41E-001,9.93E-001,1
51,2.00E-006,5.32E-001,1.60E-005,1.00E+000,2.57E-005,4.14E-005,1.03E-005,2.08E-001,3.97E-001,4.63E-001,6.33E-001,1.01E+000,1
52,6.00E-006,5.31E-001,2.60E-005,1.03E+000,2.75E-005,4.85E-005,2.02E-005,2.16E-001,4.02E-001,4.64E-001,6.38E-001,1.03E+000,1
53,8.00E-006,5.26E-001,1.90E-005,9.77E-001,2.48E-005,4.35E-005,1.16E-005,2.05E-001,3.95E-001,4.59E-001,6.26E-001,9.73E-001,1
54,4.00E-006,5.31E-001,2.46E-004,1.02E+000,3.03E-005,1.10E-004,1.60E-004,2.13E-001,4.00E-001,4.60E-001,6.37E-001,1.03E+000,1
55,1.60E-005,5.30E-001,1.34E-004,1.00E+000,3.46E-005,8.85E-005,1.25E-004,2.13E-001,4.01E-001,4.63E-001,6.34E-001,9.94E-001,1
56,1.70E-005,5.31E-001,5.10E-005,9.97E-001,3.04E-005,5.39E-005,4.41E-005,2.16E-001,4.02E-001,4.61E-001,6.37E-001,9.85E-001,1
57,3.00E-006,5.24E-001,1.92E-004,1.02E+000,3.04E-005,9.95E-005,1.22E-004,2.03E-001,3.90E-001,4.54E-001,6.33E-001,1.01E+000,0
58,1.50E-005,5.24E-001,6.90E-005,1.01E+000,2.70E-005,6.10E-005,4.56E-005,2.05E-001,3.93E-001,4.54E-001,6.34E-001,1.01E+000,1
59,1.00E-006,5.28E-001,4.20E-005,9.98E-001,2.62E-005,5.31E-005,3.56E-005,2.13E-001,4.00E-001,4.61E-001,6.30E-001,9.95E-001,1
60,1.00E-005,5.26E-001,1.45E-004,1.03E+000,2.76E-005,8.11E-005,8.39E-005,2.04E-001,3.93E-001,4.56E-001,6.35E-001,1.03E+000,1
61,6.00E-006,5.27E-001,3.60E-005,1.03E+000,3.48E-005,5.60E-005,2.97E-005,2.13E-001,4.00E-001,4.62E-001,6.36E-001,1.02E+000,1
62,8.00E-006,5.29E-001,3.60E-005,9.98E-001,2.56E-005,4.83E-005,2.81E-005,2.16E-001,4.03E-001,4.65E-001,6.33E-001,9.93E-001,1
63,3.00E-006,5.30E-001,6.10E-005,1.01E+000,2.82E-005,5.64E-005,5.01E-005,2.14E-001,4.00E-001,4.61E-001,6.31E-001,1.00E+000,1
64,8.00E-006,5.29E-001,9.00E-005,1.06E+000,2.73E-005,6.69E-005,5.19E-005,2.05E-001,3.94E-001,4.60E-001,6.44E-001,1.06E+000,1
65,2.00E-006,5.32E-001,1.70E-005,1.00E+000,2.54E-005,4.37E-005,1.08E-005,2.06E-001,3.96E-001,4.60E-001,6.36E-001,9.94E-001,1
66,7.00E-006,5.30E-001,1.60E-005,9.92E-001,2.68E-005,4.21E-005,9.51E-006,2.08E-001,3.98E-001,4.62E-001,6.35E-001,9.88E-001,1
67,1.10E-005,5.28E-001,2.80E-005,1.02E+000,2.56E-005,4.87E-005,2.13E-005,2.09E-001,3.96E-001,4.58E-001,6.35E-001,1.02E+000,1
68,2.00E-006,5.37E-001,1.70E-005,1.01E+000,2.44E-005,4.35E-005,9.90E-006,2.14E-001,4.04E-001,4.67E-001,6.41E-001,1.00E+000,1
69,4.00E-006,5.30E-001,5.00E-005,1.00E+000,2.81E-005,5.36E-005,4.20E-005,2.17E-001,4.03E-001,4.67E-001,6.34E-001,9.89E-001,1
70,9.00E-006,5.27E-001,4.79E-004,1.03E+000,3.39E-005,1.80E-004,3.09E-004,2.08E-001,3.96E-001,4.59E-001,6.38E-001,1.03E+000,0
71,2.00E-006,5.38E-001,7.50E-005,1.03E+000,2.40E-005,5.44E-005,6.68E-005,2.13E-001,4.03E-001,4.67E-001,6.45E-001,1.03E+000,1
72,2.00E-006,5.25E-001,6.20E-005,9.84E-001,2.48E-005,5.54E-005,5.45E-005,2.05E-001,3.94E-001,4.58E-001,6.26E-001,9.75E-001,1
73,8.00E-006,5.29E-001,2.80E-005,9.96E-001,2.60E-005,4.86E-005,2.22E-005,2.14E-001,4.01E-001,4.59E-001,6.32E-001,9.97E-001,1
74,7.00E-006,5.30E-001,9.00E-005,1.00E+000,2.81E-005,6.06E-005,8.16E-005,2.15E-001,4.01E-001,4.62E-001,6.33E-001,9.93E-001,1
75,1.00E-006,5.30E-001,4.20E-005,9.92E-001,3.25E-005,5.85E-005,3.52E-005,2.15E-001,4.01E-001,4.63E-001,6.34E-001,9.88E-001,1
76,1.50E-005,5.31E-001,2.02E-004,1.02E+000,3.09E-005,9.84E-005,1.33E-004,2.10E-001,3.98E-001,4.57E-001,6.37E-001,1.02E+000,1
77,6.00E-006,5.27E-001,2.20E-005,1.02E+000,2.66E-005,4.37E-005,1.55E-005,2.13E-001,3.99E-001,4.63E-001,6.35E-001,1.01E+000,1
78,1.20E-005,5.26E-001,1.70E-005,9.61E-001,2.66E-005,4.41E-005,1.09E-005,2.08E-001,3.98E-001,4.60E-001,6.24E-001,9.54E-001,1
79,1.00E-005,5.27E-001,5.60E-005,9.98E-001,2.66E-005,5.84E-005,4.93E-005,2.14E-001,4.01E-001,4.65E-001,6.31E-001,9.96E-001,1
80,7.00E-006,5.28E-001,2.14E-004,1.03E+000,2.91E-005,9.83E-005,1.15E-004,2.11E-001,3.97E-001,4.62E-001,6.37E-001,1.03E+000,1
81,1.50E-005,5.29E-001,4.40E-005,9.94E-001,2.92E-005,5.40E-005,3.68E-005,2.16E-001,4.02E-001,4.65E-001,6.29E-001,9.89E-001,1
82,5.00E-006,5.26E-001,5.50E-005,1.04E+000,2.74E-005,5.34E-005,3.54E-005,2.04E-001,3.92E-001,4.56E-001,6.37E-001,1.04E+000,1
83,1.70E-005,5.33E-001,2.50E-005,1.02E+000,2.63E-005,4.65E-005,1.91E-005,2.06E-001,3.96E-001,4.60E-001,6.39E-001,1.02E+000,1
84,1.60E-005,5.34E-001,3.20E-005,1.02E+000,2.48E-005,4.48E-005,2.21E-005,2.05E-001,3.96E-001,4.61E-001,6.45E-001,1.01E+000,1
85,1.20E-005,5.29E-001,2.08E-004,1.03E+000,2.87E-005,9.89E-005,1.29E-004,2.09E-001,3.97E-001,4.58E-001,6.34E-001,1.03E+000,1
86,1.20E-005,5.26E-001,2.80E-005,1.01E+000,2.76E-005,4.76E-005,2.15E-005,2.11E-001,3.98E-001,4.63E-001,6.32E-001,1.00E+000,1
87,1.30E-005,5.33E-001,4.90E-005,9.90E-001,2.53E-005,5.28E-005,4.05E-005,2.17E-001,4.03E-001,4.62E-001,6.33E-001,9.82E-001,1
88,1.10E-005,5.32E-001,2.60E-005,9.95E-001,2.59E-005,4.56E-005,1.92E-005,2.16E-001,4.03E-001,4.63E-001,6.37E-001,9.92E-001,1
89,5.00E-006,5.29E-001,1.29E-004,9.95E-001,2.79E-005,7.19E-005,1.21E-004,2.14E-001,4.01E-001,4.64E-001,6.32E-001,9.90E-001,1
90,6.00E-006,5.30E-001,5.10E-005,9.96E-001,2.74E-005,5.60E-005,3.76E-005,2.16E-001,4.02E-001,4.64E-001,6.36E-001,9.94E-001,1
91,1.00E-006,5.27E-001,3.50E-005,9.91E-001,2.63E-005,5.04E-005,2.79E-005,2.15E-001,4.02E-001,4.62E-001,6.31E-001,9.88E-001,1
92,1.10E-005,5.25E-001,3.30E-005,1.01E+000,2.57E-005,5.02E-005,2.71E-005,2.15E-001,4.00E-001,4.60E-001,6.34E-001,1.01E+000,1
93,4.00E-006,5.27E-001,4.70E-005,1.01E+000,2.79E-005,5.37E-005,4.04E-005,2.10E-001,3.98E-001,4.62E-001,6.27E-001,1.00E+000,1
94,8.00E-006,5.29E-001,4.40E-005,1.01E+000,3.03E-005,5.60E-005,3.50E-005,2.14E-001,4.01E-001,4.62E-001,6.37E-001,1.00E+000,1
95,8.00E-006,5.26E-001,9.40E-005,9.95E-001,2.74E-005,7.46E-005,7.79E-005,2.15E-001,4.01E-001,4.60E-001,6.31E-001,9.90E-001,1
96,7.00E-006,5.31E-001,1.90E-005,1.01E+000,2.52E-005,4.44E-005,1.15E-005,2.06E-001,3.97E-001,4.62E-001,6.37E-001,1.00E+000,1
97,4.00E-006,5.33E-001,2.20E-005,9.79E-001,2.69E-005,4.39E-005,1.56E-005,2.11E-001,4.01E-001,4.65E-001,6.31E-001,9.74E-001,1
98,1.30E-005,5.31E-001,8.40E-005,9.95E-001,2.81E-005,6.61E-005,7.07E-005,2.16E-001,4.03E-001,4.62E-001,6.35E-001,9.89E-001,1
99,3.00E-006,5.26E-001,2.82E-004,1.01E+000,3.17E-005,1.17E-004,1.97E-004,2.05E-001,3.93E-001,4.56E-001,6.34E-001,1.01E+000,0
100,2.00E-006,5.26E-001,3.11E-004,1.03E+000,3.36E-005,1.40E-004,2.00E-004,2.02E-001,3.91E-001,4.56E-001,6.35E-001,1.03E+000,0
101,7.00E-006,5.33E-001,3.00E-005,9.92E-001,2.39E-005,4.56E-005,2.08E-005,2.16E-001,4.03E-001,4.67E-001,6.35E-001,9.91E-001,1
102,2.00E-006,5.29E-001,2.00E-005,9.71E-001,2.73E-005,4.37E-005,1.29E-005,2.05E-001,3.96E-001,4.59E-001,6.27E-001,9.63E-001,1
103,0.00E+000,5.29E-001,1.50E-005,9.82E-001,2.45E-005,4.39E-005,9.02E-006,2.09E-001,3.97E-001,4.64E-001,6.31E-001,9.77E-001,1
104,6.00E-006,5.27E-001,4.80E-005,1.02E+000,2.66E-005,5.24E-005,3.80E-005,2.10E-001,3.98E-001,4.59E-001,6.35E-001,1.02E+000,1
105,1.80E-005,5.28E-001,3.31E-004,1.02E+000,3.83E-005,1.41E-004,2.06E-004,2.09E-001,3.96E-001,4.59E-001,6.35E-001,1.02E+000,0
106,8.00E-006,5.28E-001,7.20E-005,1.00E+000,2.62E-005,5.58E-005,6.59E-005,2.16E-001,4.03E-001,4.63E-001,6.34E-001,9.99E-001,1
107,9.00E-006,5.22E-001,3.40E-005,1.01E+000,2.94E-005,5.29E-005,2.69E-005,2.07E-001,3.95E-001,4.59E-001,6.32E-001,1.01E+000,1
108,9.00E-006,5.26E-001,2.10E-005,1.04E+000,2.63E-005,4.69E-005,1.41E-005,2.04E-001,3.92E-001,4.57E-001,6.38E-001,1.04E+000,1
109,7.00E-006,5.26E-001,3.20E-005,1.02E+000,2.83E-005,4.94E-005,2.58E-005,2.13E-001,4.00E-001,4.60E-001,6.34E-001,1.01E+000,1
110,1.30E-005,5.29E-001,1.95E-004,1.02E+000,2.86E-005,9.45E-005,1.58E-004,2.09E-001,3.96E-001,4.60E-001,6.38E-001,1.03E+000,1
111,1.00E-005,5.31E-001,3.20E-005,9.99E-001,2.77E-005,4.88E-005,2.57E-005,2.16E-001,4.02E-001,4.67E-001,6.33E-001,9.94E-001,1
112,1.60E-005,5.29E-001,1.28E-004,1.04E+000,2.91E-005,7.53E-005,8.06E-005,2.09E-001,3.97E-001,4.55E-001,6.42E-001,1.04E+000,1
113,9.00E-006,5.27E-001,3.47E-004,1.02E+000,2.97E-005,1.40E-004,2.19E-004,2.10E-001,3.98E-001,4.61E-001,6.35E-001,1.02E+000,0
114,2.00E-006,5.41E-001,2.10E-005,1.07E+000,2.53E-005,4.55E-005,1.71E-005,2.23E-001,4.10E-001,4.70E-001,6.57E-001,1.07E+000,1
115,7.00E-006,5.36E-001,1.70E-005,1.01E+000,2.69E-005,4.29E-005,9.79E-006,2.15E-001,4.02E-001,4.65E-001,6.40E-001,1.01E+000,1
116,3.00E-006,5.29E-001,5.40E-005,9.96E-001,2.86E-005,5.17E-005,4.65E-005,2.17E-001,4.03E-001,4.63E-001,6.37E-001,9.91E-001,1
117,7.00E-006,5.34E-001,1.06E-004,9.90E-001,2.47E-005,5.07E-005,8.47E-005,2.18E-001,4.05E-001,4.68E-001,6.34E-001,9.85E-001,1
118,6.00E-006,5.29E-001,4.50E-005,9.99E-001,3.17E-005,5.61E-005,3.81E-005,2.18E-001,4.04E-001,4.65E-001,6.35E-001,9.92E-001,1
119,1.00E-006,5.18E-001,1.30E-004,9.03E-001,2.99E-005,6.79E-005,1.23E-004,2.03E-001,3.90E-001,4.48E-001,6.08E-001,9.03E-001,0
120,1.00E-006,5.16E-001,1.19E-004,9.34E-001,3.14E-005,7.08E-005,1.09E-004,2.00E-001,3.89E-001,4.50E-001,6.15E-001,9.32E-001,0
121,9.00E-006,5.18E-001,1.35E-004,9.74E-001,3.00E-005,8.08E-005,8.26E-005,1.95E-001,3.88E-001,4.51E-001,6.21E-001,9.71E-001,0
122,1.60E-005,5.21E-001,3.72E-004,8.96E-001,2.53E-005,1.23E-004,2.69E-004,2.02E-001,3.89E-001,4.55E-001,6.12E-001,8.93E-001,0
123,1.30E-005,5.17E-001,6.30E-005,9.39E-001,2.91E-005,5.76E-005,5.42E-005,2.03E-001,3.90E-001,4.53E-001,6.18E-001,9.33E-001,0
124,8.00E-006,5.15E-001,1.07E-004,9.49E-001,3.77E-005,8.01E-005,9.72E-005,2.00E-001,3.86E-001,4.49E-001,6.20E-001,9.49E-001,0
125,1.40E-005,5.17E-001,1.02E-004,9.19E-001,3.12E-005,6.63E-005,9.60E-005,1.97E-001,3.89E-001,4.48E-001,6.12E-001,9.20E-001,0
126,7.00E-006,5.18E-001,8.20E-005,9.45E-001,2.97E-005,6.39E-005,7.16E-005,2.02E-001,3.89E-001,4.53E-001,6.17E-001,9.38E-001,0
127,1.30E-005,5.44E-001,1.48E-004,8.98E-001,3.70E-005,9.18E-005,1.39E-004,2.26E-001,4.14E-001,4.71E-001,6.34E-001,9.01E-001,1
128,9.00E-006,5.17E-001,6.60E-005,9.31E-001,2.63E-005,5.57E-005,6.00E-005,2.02E-001,3.88E-001,4.49E-001,6.13E-001,9.31E-001,0
129,3.00E-006,5.10E-001,4.60E-005,9.93E-001,3.99E-005,6.69E-005,3.97E-005,1.88E-001,3.77E-001,4.39E-001,6.18E-001,9.93E-001,0
130,4.00E-006,5.13E-001,1.16E-004,9.22E-001,2.61E-005,6.51E-005,1.02E-004,1.97E-001,3.86E-001,4.48E-001,6.09E-001,9.19E-001,0
131,6.00E-006,5.16E-001,8.00E-005,9.50E-001,2.74E-005,5.69E-005,6.62E-005,2.02E-001,3.90E-001,4.48E-001,6.17E-001,9.45E-001,0
132,1.80E-005,5.15E-001,8.20E-005,9.16E-001,2.87E-005,5.70E-005,7.52E-005,1.97E-001,3.86E-001,4.46E-001,6.11E-001,9.17E-001,0
133,7.00E-006,5.17E-001,5.40E-005,9.30E-001,2.75E-005,5.03E-005,4.63E-005,2.02E-001,3.89E-001,4.50E-001,6.17E-001,9.22E-001,0
134,1.60E-005,5.21E-001,3.05E-004,9.47E-001,2.61E-005,9.35E-005,3.00E-004,2.01E-001,3.88E-001,4.50E-001,6.20E-001,9.43E-001,0
135,5.00E-006,5.17E-001,5.10E-005,9.49E-001,2.76E-005,5.08E-005,4.23E-005,2.03E-001,3.89E-001,4.51E-001,6.20E-001,9.44E-001,0
136,1.30E-005,5.19E-001,4.80E-005,9.33E-001,2.45E-005,4.77E-005,4.05E-005,2.03E-001,3.89E-001,4.48E-001,6.15E-001,9.30E-001,0
137,4.00E-006,5.20E-001,2.20E-004,9.62E-001,2.87E-005,8.86E-005,1.42E-004,2.02E-001,3.90E-001,4.51E-001,6.22E-001,9.58E-001,0
138,8.00E-006,5.17E-001,5.90E-005,9.52E-001,2.72E-005,5.18E-005,5.46E-005,2.03E-001,3.90E-001,4.52E-001,6.18E-001,9.49E-001,0
139,2.00E-006,5.15E-001,5.00E-005,9.46E-001,2.69E-005,4.82E-005,3.99E-005,2.01E-001,3.88E-001,4.49E-001,6.16E-001,9.42E-001,0
